REQ-00001,2000,1000,11.35556697845459,0.13664793968200684,"['vit_b_16', 'resnet101', 'resnet50']",['vit_b_16'],limpkin,0.8923072218894958,single_model,11023.462791927159,True,n02013706,3,0.9,[],2,deadline_stop_before_resnet101,0.4,greedy,1,adaptive,,,,,,limpkin,-1.0,-1.0,-1.0,-1.0,-1.0,0.8923072218894958,-1.0,-1.0,-1.0,0.7263759375187138,0.6548996944558726,0.6198193197173396
REQ-00003,2000,1000,11.352900981903076,1.8749570846557617,"['vit_b_16', 'resnet101', 'resnet50']",['vit_b_16'],garter_snake,0.8735629916191101,single_model,11334.389625117183,True,n01735189,3,0.9,[],2,deadline_stop_before_resnet101,0.8,greedy,1,adaptive,,,,,,garter_snake,-1.0,-1.0,-1.0,-1.0,-1.0,0.8735629916191101,-1.0,-1.0,-1.0,0.7263759375187138,0.6548996944558726,0.5773357877456057
REQ-00002,2000,1000,13.111380100250244,1.549983024597168,"['vit_b_16', 'resnet101', 'resnet50']",['vit_b_16'],king_snake,0.8941143155097961,single_model,13074.843416921794,True,n01734418,3,0.9,[],2,deadline_stop_before_resnet101,0.6,greedy,1,adaptive,,,,,,king_snake,-1.0,-1.0,-1.0,-1.0,-1.0,0.8941143155097961,-1.0,-1.0,-1.0,0.7263759375187138,0.6548996944558726,0.5773357877456057
REQ-00004,2000,1000,12.848329067230225,4.158628225326538,"['vit_b_16', 'resnet101', 'resnet50']",['vit_b_16'],flamingo,0.9255304336547852,single_model,12829.976875102147,True,n02007558,3,0.9,[],2,early_exit_first_pass=vit_b_16,1.0,greedy,1,adaptive,,,,,,flamingo,-1.0,-1.0,-1.0,-1.0,-1.0,0.9255304336547852,-1.0,-1.0,-1.0,0.7263759375187138,0.6548996944558726,0.5773357877456057
REQ-00005,2000,1000,13.051399230957031,5.3113930225372314,"['vit_b_16', 'resnet101', 'resnet50']",['vit_b_16'],black_swan,0.8982245326042175,single_model,13034.382874844596,True,n01860187,3,0.9,[],2,deadline_stop_before_resnet101,1.0,greedy,1,adaptive,,,,,,black_swan,-1.0,-1.0,-1.0,-1.0,-1.0,0.8982245326042175,-1.0,-1.0,-1.0,0.7263759375187138,0.6548996944558726,0.5773357877456057
REQ-00006,2000,1000,13.185772895812988,5.826076984405518,"['vit_b_16', 'resnet101', 'resnet50']",['vit_b_16'],whiptail,0.8627029657363892,single_model,13168.669000035152,True,n01685808,3,0.9,[],2,deadline_stop_before_resnet101,1.0,greedy,1,adaptive,,,,,,whiptail,-1.0,-1.0,-1.0,-1.0,-1.0,0.8627029657363892,-1.0,-1.0,-1.0,0.7869072656452732,0.709474668993862,0.6254471033910728
REQ-00007,2000,1000,12.910507678985596,7.1858460903167725,"['vit_b_16', 'resnet101', 'resnet50']",['vit_b_16'],black_widow,0.8670040369033813,single_model,12880.923541961238,True,n01774384,3,0.9,[],2,deadline_stop_before_resnet101,0.8,greedy,1,adaptive,,,,,,black_widow,-1.0,-1.0,-1.0,-1.0,-1.0,0.8670040369033813,-1.0,-1.0,-1.0,1.412354369036404,1.3349217723849924,1.2508942067822033
REQ-00000,2000,1000,20.123899936676025,3.0994415283203125e-06,"['vit_b_16', 'resnet101', 'resnet50']","['vit_b_16', 'resnet101']",scorpion,1.0,weighted_majority,20066.701875068247,True,n01770393,3,0.9,[],2,early_exit_with_aggregation_at_resnet101,0.2,greedy,1,adaptive,,,,,scorpion,scorpion,-1.0,-1.0,-1.0,-1.0,0.9997195601463318,0.8817819952964783,-1.0,-1.0,-1.0,0.7263759375187138,0.6548996944558726,0.6198193197173396



